17.6
133
0 0   9 12
0 13   9 24
0 25   9 28
0 29   8 39
0 40   8 46
0 47   8 52
0 53   6 65
0 66   6 70
0 71   6 74
0 75   5 89
0 90   5 100
0 101   5 106
0 107   5 111
0 112   5 114
0 115   5 116
0 117   5 117
0 118   4 132
5 118   9 132
6 75   9 79
7 53   8 57
6 80   9 94
6 95   9 106
6 107   9 109
7 58   9 58
7 59   9 59
7 60   9 60
7 61   8 62
7 63   8 63
