0.4
111
0 0   7 11
0 12   7 22
0 23   7 25
0 26   6 36
0 37   6 47
0 48   6 57
0 58   6 60
0 61   6 61
0 62   5 70
0 71   5 76
0 77   5 82
0 83   5 84
0 85   4 88
0 89   3 100
4 89   7 98
4 99   7 107
0 101   3 104
0 105   3 107
0 108   3 110
4 108   7 110
7 26   7 29
5 85   7 86
6 62   7 71
6 72   7 73
6 74   7 74
6 75   7 75
7 30   7 40
7 41   7 51
7 52   7 60
